match_id,game,date,tournament,series,team1_id,team1_name,team2_id,team2_name,winner_id,label,n_games
1436341,cs-go,2026-04-19 15:35:38+00:00,Playoffs,Rio 2026,130564,Team Falcons,124530,FURIA,130564,1,3
1449727,cs-go,2026-04-19 15:45:27+00:00,Playoffs,Challengers Series 1 2026,137660,eLITenergy,134320,aimclub,137660,1,3
1431943,cs-go,2026-04-19 15:54:57+00:00,Group Stage,Season 7 2026,126944,1WIN,133542,CYBERSHOKE Esports,133542,0,3
1448822,cs-go,2026-04-19 16:24:27+00:00,Playoffs,Season 5 2026,137416,TNC,138089,zajezdzacze,138089,0,3
1438502,cs-go,2026-04-19 16:59:44+00:00,Group Stage,Online Stage 2026,138496,Clutchain,133063,UNiTY esports,133063,0,1
1448823,cs-go,2026-04-19 17:05:26+00:00,Playoffs,Season 5 2026,127976,Infinite,134251,Rebels Gaming,127976,1,3
1453386,cs-go,2026-04-19 17:08:24+00:00,Regular Season,Advanced Europe season 57 2026,138465,Arch,138471,Nerve of Cow,138465,1,1
1438501,cs-go,2026-04-19 18:02:04+00:00,Group Stage,Online Stage 2026,131189,EYEBALLERS,129160,MOUZ NXT,131189,1,1
1431945,cs-go,2026-04-19 18:39:25+00:00,Group Stage,Season 7 2026,137080,MANA eSports,137701,Bebop,137701,0,3
1448829,cs-go,2026-04-19 19:41:21+00:00,Playoffs,Season 5 2026,131591,XI Esport,137416,TNC,137416,0,3
1436342,cs-go,2026-04-19 20:11:22+00:00,Playoffs,Rio 2026,124523,Spirit,3455,Vitality,3455,0,5
1452827,cs-go,2026-04-19 20:18:33+00:00,Main Stage,Season 25 2026,137285,Hermine Esports Club,135978,eternal premium,135978,0,3
1448828,cs-go,2026-04-19 21:14:43+00:00,Playoffs,Season 5 2026,137580, Phantom Academy,134251,Rebels Gaming,134251,0,3
1447265,cs-go,2026-04-19 22:51:33+00:00,Playoffs,Challengers #1 2026,137320,Vasco Esports,130605,UNO MILLE,130605,0,3
1447268,cs-go,2026-04-20 01:22:31+00:00,Playoffs,Challengers #1 2026,129800,MIBR Academy,130605,UNO MILLE,130605,0,3
1448787,cs-go,2026-04-20 02:00:42+00:00,Playoffs,Eagle Masters season 7 2026,138440,insane players,133538,Akimbo Esports,138440,1,3
1448827,cs-go,2026-04-20 09:46:49+00:00,Playoffs,Season 5 2026,137416,TNC,134251,Rebels Gaming,137416,1,3
1453429,cs-go,2026-04-20 10:14:19+00:00,Group B,Season 48 2026,137324,Imperial Academy,132795,INFURITY Gaming,132795,0,3
1451291,cs-go,2026-04-20 10:42:49+00:00,Group D,Regular season 4 2026,130733,KUUSAMO.gg,135474,Fire Flux Esports,130733,1,3
1431946,cs-go,2026-04-20 11:42:46+00:00,Group Stage,Season 7 2026,129160,MOUZ NXT,133542,CYBERSHOKE Esports,133542,0,3
1451292,cs-go,2026-04-20 12:31:06+00:00,Group D,Regular season 4 2026,136539,ALGO Esports,137967,ReThink,136539,1,3
1453430,cs-go,2026-04-20 12:32:48+00:00,Group B,Season 48 2026,126694,BIG Academy,128394,AaB Esport,128394,0,3
1448824,cs-go,2026-04-20 12:37:53+00:00,Playoffs,Season 5 2026,138089,zajezdzacze,127976,Infinite,127976,0,3
1449732,cs-go,2026-04-20 12:46:50+00:00,Playoffs,Challengers Series 1 2026,130594,Dripmen,128327,Young Ninjas,128327,0,3
1449729,cs-go,2026-04-20 14:06:54+00:00,Playoffs,Challengers Series 1 2026,136815,HEROIC Academy,134320,aimclub,134320,0,3
1452829,cs-go,2026-04-20 14:33:35+00:00,Main Stage,Season 25 2026,138146,Drama eSports,135326,Wingman,135326,0,3
1431947,cs-go,2026-04-20 14:36:59+00:00,Group Stage,Season 7 2026,135673,Nuclear TigeRES,137546,Acend,135673,1,3
1448826,cs-go,2026-04-20 15:34:33+00:00,Playoffs,Season 5 2026,137416,TNC,138089,zajezdzacze,138089,0,3
1449735,cs-go,2026-04-20 16:11:19+00:00,Playoffs,Challengers Series 1 2026,138026,Atreides,134815,RUSTEC,134815,0,3
1448781,cs-go,2026-04-20 16:40:37+00:00,Group Stage,Season 32 2026,129876,Linx Legacy Esport,128432,struggletony,128432,0,3
1452830,cs-go,2026-04-20 16:52:00+00:00,Main Stage,Season 25 2026,137580, Phantom Academy,134057,HAVENs,137580,1,3
1447118,cs-go,2026-04-20 16:53:02+00:00,Regular Season,Advanced Europe season 57 2026,137474,Oldboys,137967,ReThink,137474,1,1
1431948,cs-go,2026-04-20 16:53:35+00:00,Group Stage,Season 7 2026,137932,ex-RUBY,133994,Oxuji Esports,137932,1,3
1449734,cs-go,2026-04-20 16:58:16+00:00,Playoffs,Challengers Series 1 2026,138407,playersclub,126624,Brute,138407,1,3
1454773,cs-go,2026-04-20 17:35:17+00:00,Regular Season,Advanced Europe season 57 2026,126515,ENRAGE,129468,Glitchtech Esports,126515,1,1
1438503,cs-go,2026-04-20 17:47:46+00:00,Group Stage,Online Stage 2026,127014,Sinners,131010,Sashi Esport,131010,0,3
